0, 1408
2, 1742
3, 1175
4, 842
5, 799
6, 569
7, 503
8, 394
9, 442
10, 345
11, 288
12, 283
13, 266
14, 267
15, 234
16, 212
17, 217
18, 191
19, 192
20, 154
21, 154
22, 142
23, 159
24, 127
25, 128
26, 128
27, 131
28, 104
29, 121
30, 111
31, 107
32, 129
33, 109
34, 114
35, 100
36, 109
37, 102
38, 103
39, 96
40, 97
41, 100
42, 101
43, 112
44, 100
45, 111
46, 117
47, 90
48, 106
49, 97
50, 85
51, 93
52, 84
53, 84
54, 91
55, 80
56, 66
57, 86
58, 71
59, 70
60, 71
61, 61
62, 59
63, 82
64, 75
65, 69
66, 75
67, 60
68, 64
69, 52
70, 52
71, 55
72, 67
73, 63
74, 64
75, 68
76, 56
77, 70
78, 63
79, 65
80, 46
81, 50
82, 58
83, 70
84, 38
85, 54
86, 56
87, 45
88, 51
89, 51
90, 55
91, 59
92, 61
93, 48
94, 54
95, 50
96, 52
97, 45
98, 60
99, 56
100, 58
101, 50
102, 61
103, 67
104, 52
105, 53
106, 43
107, 48
108, 60
109, 43
110, 67
111, 53
112, 61
113, 59
114, 55
115, 54
116, 63
117, 76
118, 58
119, 68
120, 71
121, 65
122, 59
123, 62
124, 49
125, 69
126, 49
127, 65
128, 61
129, 62
130, 69
131, 70
132, 67
133, 65
134, 60
135, 48
136, 48
137, 44
138, 55
139, 42
140, 32
141, 45
142, 61
143, 51
144, 39
145, 42
146, 46
147, 46
148, 42
149, 44
150, 30
151, 48
152, 57
153, 44
154, 49
155, 55
156, 44
157, 44
158, 46
159, 46
160, 46
161, 49
162, 40
163, 54
164, 50
165, 52
166, 42
167, 52
168, 42
169, 47
170, 62
171, 58
172, 50
173, 56
174, 41
175, 63
176, 46
177, 57
178, 54
179, 49
180, 53
181, 39
182, 51
183, 51
184, 60
185, 32
186, 55
187, 53
188, 52
189, 51
190, 54
191, 47
192, 66
193, 51
194, 47
195, 67
196, 52
197, 56
198, 61
199, 74
200, 61
201, 68
202, 70
203, 71
204, 60
205, 81
206, 48
207, 58
208, 65
209, 49
210, 60
211, 51
212, 59
213, 59
214, 69
215, 63
216, 56
217, 36
218, 65
219, 44
220, 43
221, 47
222, 42
223, 44
224, 42
225, 45
226, 60
227, 52
228, 65
229, 57
230, 56
231, 60
232, 65
233, 70
234, 67
235, 75
236, 69
237, 75
238, 82
239, 67
240, 82
241, 86
242, 104
243, 100
244, 83
245, 95
246, 104
247, 121
248, 132
249, 124
250, 131
251, 167
252, 190
253, 238
254, 267
255, 306
256, 427
257, 270
258, 180
259, 129
260, 120
261, 103
262, 62
263, 57
264, 46
265, 46
266, 45
267, 30
268, 34
269, 29
270, 24
271, 29
272, 30
273, 23
274, 27
275, 19
276, 19
277, 16
278, 20
279, 19
280, 22
281, 20
282, 16
283, 15
284, 22
285, 15
286, 19
287, 4
288, 12
289, 13
290, 19
291, 10
292, 20
293, 17
294, 24
295, 16
296, 12
297, 22
298, 20
299, 14
300, 17
301, 13
302, 9
303, 13
304, 15
305, 15
306, 14
307, 15
308, 15
309, 16
310, 15
311, 12
312, 14
313, 10
314, 8
315, 16
316, 10
317, 10
318, 12
319, 7
320, 13
321, 11
322, 11
323, 10
324, 12
325, 12
326, 8
327, 14
328, 15
329, 6
330, 17
331, 6
332, 2
333, 12
334, 15
335, 14
336, 15
337, 17
338, 12
339, 20
340, 11
341, 10
342, 9
343, 12
344, 17
345, 11
346, 13
347, 9
348, 9
349, 11
350, 8
351, 13
352, 18
353, 12
354, 13
355, 13
356, 9
357, 16
358, 11
359, 6
360, 15
361, 14
362, 11
363, 10
364, 9
365, 7
366, 8
367, 10
368, 6
369, 10
370, 11
371, 9
372, 12
373, 7
374, 10
375, 12
376, 12
377, 12
378, 11
379, 12
380, 9
381, 16
382, 15
383, 14
384, 9
385, 14
386, 22
387, 7
388, 15
389, 15
390, 16
391, 12
392, 13
393, 9
394, 8
395, 12
396, 12
397, 8
398, 8
399, 10
400, 6
401, 7
402, 15
403, 11
404, 9
405, 10
406, 10
407, 9
408, 9
409, 9
410, 5
411, 13
412, 11
413, 10
414, 6
415, 5
416, 5
417, 4
418, 14
419, 7
420, 10
421, 11
422, 12
423, 10
424, 6
425, 14
426, 3
427, 14
428, 12
429, 11
430, 12
431, 10
432, 9
433, 9
434, 7
435, 6
436, 14
437, 11
438, 7
439, 6
440, 15
441, 12
442, 14
443, 8
444, 10
445, 10
446, 11
447, 19
448, 10
449, 11
450, 12
451, 12
452, 10
453, 10
454, 13
455, 6
456, 10
457, 14
458, 16
459, 13
460, 10
461, 8
462, 9
463, 14
464, 15
465, 11
466, 14
467, 14
468, 12
469, 15
470, 9
471, 7
472, 13
473, 7
474, 8
475, 12
476, 5
477, 6
478, 7
479, 11
480, 6
481, 15
482, 12
483, 13
484, 3
485, 16
486, 12
487, 9
